MIME_type,Count,Virus_Share_Package
application/x-dosexec,26555,registro_destino_00476.csv
application/pdf,17233,registro_destino_00476.csv
text/html,14201,registro_destino_00476.csv
text/plain,4108,registro_destino_00476.csv
application/octet-stream,1824,registro_destino_00476.csv
application/zip,554,registro_destino_00476.csv
application/x-executable,303,registro_destino_00476.csv
application/java-archive,177,registro_destino_00476.csv
text/xml,121,registro_destino_00476.csv
application/x-rar,52,registro_destino_00476.csv
text/x-php,46,registro_destino_00476.csv
message/rfc822,41,registro_destino_00476.csv
application/x-java-applet,34,registro_destino_00476.csv
application/vnd.ms-excel,32,registro_destino_00476.csv
application/gzip,27,registro_destino_00476.csv
application/x-mach-binary,25,registro_destino_00476.csv
application/vnd.openxmlformats-officedocument.wordprocessingml.document,23,registro_destino_00476.csv
text/rtf,21,registro_destino_00476.csv
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,18,registro_destino_00476.csv
text/x-shellscript,17,registro_destino_00476.csv
text/x-script.python,12,registro_destino_00476.csv
text/x-msdos-batch,12,registro_destino_00476.csv
application/encrypted,10,registro_destino_00476.csv
application/CDFV2,10,registro_destino_00476.csv
application/x-msi,8,registro_destino_00476.csv
application/json,8,registro_destino_00476.csv
text/x-ruby,7,registro_destino_00476.csv
application/x-7z-compressed,7,registro_destino_00476.csv
application/msword,6,registro_destino_00476.csv
application/x-sharedlib,6,registro_destino_00476.csv
application/x-pie-executable,4,registro_destino_00476.csv
application/x-iso9660-image,4,registro_destino_00476.csv
text/x-c++,4,registro_destino_00476.csv
application/x-tar,3,registro_destino_00476.csv
application/vnd.ms-powerpoint,3,registro_destino_00476.csv
application/x-chrome-extension,2,registro_destino_00476.csv
text/x-asm,2,registro_destino_00476.csv
application/x-setupscript,2,registro_destino_00476.csv
text/x-c,2,registro_destino_00476.csv
text/x-perl,2,registro_destino_00476.csv
application/x-xz,2,registro_destino_00476.csv
application/x-xar,1,registro_destino_00476.csv
text/x-Algol68,1,registro_destino_00476.csv
application/zlib,1,registro_destino_00476.csv
application/x-dc42-floppy-image,1,registro_destino_00476.csv
application/x-ms-compress-szdd,1,registro_destino_00476.csv
audio/mpeg,1,registro_destino_00476.csv
text/csv,1,registro_destino_00476.csv
application/x-bytecode.python,1,registro_destino_00476.csv
